"Po¯.";"ID";"JmÈno";"T˝m";"G";"PAB";"AB";"H";"BA";"2B";"3B";"HR";"TB";"SA";"R";"RBI";"BB";"HP";"SO";"SOA";"SH";"SF";"SB";"CS";"SBA";"OBP";
"198";"1469";"Chroust Radim";"Draci";"9";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"199";"5660";"»apka Filip";"Draci";"3";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"200";"558";"»uhel LubomÌr";"Tempo";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"201";"11499";"Dijck Rick";"Eagles";"9";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"202";"718";"Duffek Tom·ö";"Eagles";"9";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"203";"15203";"Garcia Jesus";"Nuclears";"3";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"204";"6301";"Hegr Ond¯ej";"Eagles";"3";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"205";"12413";"Hussey John";"Draci";"11";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"206";"1532";"JanÌk Karel";"Technika";"1";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
"207";"1639";"Josefus Luk·ö";"Eagles";"6";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0";"0,000";"0";"0";"0";"0";"0,000";"0,000";
